basin_id,n_points,rep_run_idx,rep_J,rep_MRT1,rep_MRT2,rep_Pe1,rep_Pe2,rep_fr1,rep_fr2,radius_norm,rep_MRT1_norm,rep_MRT2_norm,rep_Pe1_norm,rep_Pe2_norm,rep_fr1_norm,rep_fr2_norm,MRT1_lo,MRT1_hi,MRT1_span,MRT2_lo,MRT2_hi,MRT2_span,Pe1_lo,Pe1_hi,Pe1_span,Pe2_lo,Pe2_hi,Pe2_span,fr1_lo,fr1_hi,fr1_span,fr2_lo,fr2_hi,fr2_span
1,26,591,0.0317947231081925,11.367766600266505,46.842307079046975,15.554496859772462,2.146814440798956,0.2623734400879959,0.6638043842257815,0.3213256854077171,0.1114083299598606,0.24834299656328304,0.6328885267675902,0.34739427730788996,0.2552183961151904,0.6165847145346612,11.289658376889951,11.593047586181047,0.3033892092910957,44.55890548455972,49.796751506968356,5.2378460224086325,14.018608589328286,17.09038513021664,3.0717765408883526,1.7769049108422337,2.5167239707556783,0.7398190599134447,0.2305601039763523,0.3024271438443903,0.071867039868038,0.6140890478778663,0.7135197205736965,0.09943067269583017
2,55,402,0.0320540374472547,11.600502674061008,50.31745728636084,14.216229374469492,2.319911290803564,0.3045558539287422,0.6327824297149224,0.2646025184095188,0.4433674525974389,0.6263006970726571,0.3529074075358652,0.4977566212468387,0.5936213843124025,0.4160801715073293,11.414990220715953,11.786015127406063,0.3710249066901099,47.884556738317094,52.75035783440459,4.865801096087495,12.951469279615871,15.480989469323113,2.5295201897072417,2.0153013649396065,2.624521216667522,0.6092198517279153,0.2715727736246482,0.33753893423283615,0.06596616060818794,0.5918432711022424,0.6737215883276023,0.08187831722535988
3,42,97,0.0312472462271983,11.490801346238278,49.393359183534,15.310948804956077,1.971367719425136,0.2613246385077086,0.6834755027938458,0.3097834986757441,0.2868968378685639,0.5257956906259064,0.5819354417355918,0.19499069364089128,0.24680452036746475,0.7437252735844005,11.289658376889951,11.707990121275593,0.41833174438564136,46.54503994517858,52.241678421889425,5.696638476710845,13.830230444736848,16.791667165175305,2.9614367204384564,1.746894796449446,2.3279899055354445,0.5810951090859986,0.2305601039763523,0.29993959226975747,0.06937948829340518,0.6355459673377654,0.723126189930964,0.08758022259319864
4,51,1022,0.0313093448433903,11.555292822362723,49.50208384398953,14.728900080321589,2.1539090380614248,0.2848848659409166,0.6540753750434124,0.29254165986597463,0.37888315302302483,0.5376205960840786,0.4601640805090511,0.3535570715682087,0.4358134138865482,0.5537031014648983,11.35019227625462,11.760393368470826,0.41020109221620515,46.81229551963187,52.191872168347196,5.379576648715329,13.330595106866674,16.127205053776503,2.796609946909829,1.8171356246429684,2.490682451479881,0.6735468268369127,0.2484191319121914,0.3213505999696418,0.07293146805745043,0.608813487567594,0.6993372625192308,0.09052377495163677
5,31,408,0.0332573767922598,11.810038878396853,49.68818846966549,13.288876324136256,2.553346716556589,0.3267906735876476,0.5993347540918579,0.32878983247220733,0.7422358377947912,0.5578613546638388,0.15889436619198635,0.7005326843217984,0.7719973644781356,0.19989743828265683,11.579524789477906,11.99075696982905,0.41123218035114384,46.665114583517365,52.711262355813616,6.046147772296251,12.529385239680073,14.86044209079638,2.3310568511163066,2.174844474415498,2.89809293203378,0.7232484576182818,0.2858065532822745,0.3552115264282235,0.06940497314594901,0.5684067304989135,0.6502049392387123,0.0817982087397987
6,43,881,0.0324375417431498,11.565703285118031,47.56370995171749,14.365239233824267,2.469198221284177,0.2983073998183663,0.6229766905831696,0.3407537569384877,0.3937319387147291,0.3268028485494102,0.38408200279196003,0.627436235785857,0.5434939650862926,0.3527026289037809,11.326801305589747,11.804605264646316,0.477803959056569,44.55890548455972,50.6967867152597,6.137881230699975,12.736487714232739,15.993990753415797,3.2575030391830584,2.076923131603233,2.8614733109651214,0.7845501793618883,0.2558319593101646,0.34078284032656797,0.08495088101640336,0.5702554535102065,0.6756979276561328,0.10544247414592633
7,45,793,0.0315467044708584,11.567909917944874,50.182950534713335,14.379371406383797,2.167510291613532,0.2903797619366157,0.6456859549686107,0.2994572900591865,0.3968793317477006,0.6116717286762169,0.38703861761959824,0.3653719391671763,0.4798955100842125,0.49947966954755657,11.357960833239023,11.777859002650725,0.4198981694117023,47.42957611681331,52.93632495261336,5.506748835800053,12.948010764556134,15.81073204821146,2.8627212836553255,1.8227756176102594,2.5122449656168047,0.6894693480065452,0.2530519847671555,0.32770753910607586,0.07465555433892035,0.5993540849276666,0.6920178250095548,0.09266374008188816
8,34,452,0.0317327735854959,11.521004495018657,51.011273685852686,14.837784524494484,1.9675612603452064,0.2730885749031628,0.672242719106609,0.32507337698488126,0.3299765831206016,0.7017602413466656,0.4829439723328071,0.1916841741441432,0.34117918664932234,0.6711242980608919,11.293096007812595,11.748912982224718,0.455816974412123,48.02237092795475,53.75345345283872,5.731082524883966,13.283982854045249,16.39158619494372,3.1076033408984713,1.746894796449446,2.341785125858305,0.594890329408859,0.23256771606076396,0.3136094337455616,0.08104171768479765,0.6219475419437571,0.7225378962694611,0.10059035432570396
9,37,267,0.032042002339036,11.45426360191728,47.1737853098708,14.913194468168648,2.284258735061336,0.2816994978298107,0.6455317451203444,0.40409960558873503,0.23478185049164224,0.28439460366429764,0.4987206094124368,0.4667866651287885,0.4102592080182933,0.49848296332306236,11.289658376889951,11.737577266802786,0.4479188899128346,44.55890548455972,50.88929851741905,6.330393032859327,12.981659354418449,16.84472958191885,3.8630702275003994,1.8190600225172195,2.7494574476054527,0.9303974250882332,0.23132790718093474,0.3320710884786866,0.10074318129775187,0.5830096725869505,0.7080538176537383,0.12504414506678785
10,46,23,0.0322814217416872,11.623303112674758,48.402532457525226,14.12191635574398,2.442084915272833,0.3064430685597632,0.6144182827286748,0.20088974794904782,0.4758884686761725,0.4180332721332182,0.33317602735149693,0.6038839860268859,0.6087613208963569,0.29738697639367456,11.482459593051791,11.764146632297726,0.2816870392459343,46.55544203367223,50.24962288137822,3.6941808477059936,13.16169368591312,15.082139025574842,1.9204453396617218,2.210821011975882,2.673348818569784,0.4625278065939016,0.28140187572191655,0.3314842613976099,0.05008238567569334,0.5833367295205573,0.6454998359367924,0.062163106416235125
11,47,405,0.0315063125278244,11.585749509618855,50.58363238181644,14.561879641615777,2.102441376768088,0.2871403757207319,0.6577225648279537,0.21596115725055914,0.42232452854833225,0.6552499283316489,0.42522146262661753,0.3088491627361532,0.45390795091989955,0.577276023694135,11.434339446140989,11.737159573096722,0.30282012695573357,48.59796716219113,52.569297601441754,3.9713304392506217,13.52961791043231,15.594141372799243,2.0645234623669317,1.8538272951826091,2.351055458353567,0.4972281631709581,0.26022051027509746,0.3140602411663663,0.05383973089126887,0.6243091713198271,0.6911359583360802,0.06682678701625311
12,66,163,0.0314602593642269,11.511412614000523,48.32061244770169,14.662020714803976,2.240043528767888,0.2833120552074905,0.6505325895101612,0.21371081259446117,0.3162953675045168,0.40912364328510553,0.44617213957290136,0.4283786752904407,0.42319574212244615,0.5308049763922272,11.361580263994675,11.661244964006372,0.29966470001169654,46.35563812996203,50.285586765441344,3.929948635479313,13.64051529137528,15.683526138232674,2.0430108468573938,1.9940200397549315,2.486067017780845,0.4920469780259136,0.2566726984242456,0.30995141199073534,0.05327871356648972,0.617467368110762,0.6835978109095605,0.06613044279879854
13,18,354,0.0318761358444858,11.356521384110165,48.55129578953631,16.47026450744393,1.879162501228656,0.2408198376080758,0.7000216781548821,0.4189376306005404,0.09536890801608201,0.43421278770313165,0.8244777671601533,0.11489569057725457,0.08230739312810373,0.8506683525078571,11.289658376889951,11.650237967453444,0.36057959056349276,44.6993536492625,52.403237929810125,7.703884280547626,14.467805874015331,17.30923428441283,2.8414284103974996,1.746894796449446,2.3614427205021165,0.6145479240526706,0.2305601039763523,0.2930410091810497,0.0624809052046974,0.6352038744126225,0.723126189930964,0.08792231551834151
14,29,970,0.0311539013152597,11.45451762721472,48.3416348003522,15.378135425016982,2.025712523663099,0.2633442258431322,0.6713763139463581,0.3381796109397772,0.235144175134708,0.4114100365611033,0.5959916638949385,0.2421978620319157,0.2630063999425125,0.6655244519689305,11.289658376889951,11.69161487660529,0.40195649971533776,45.23222614567249,51.451043455031915,6.218817309359423,13.761687934718392,16.994582915315572,3.2328949805971803,1.746894796449446,2.4150242612696062,0.6681294648201603,0.2305601039763523,0.30549879539099584,0.07493869141464354,0.6190533473508146,0.723126189930964,0.10407284258014937
15,25,212,0.0331513961305808,11.801471223604215,50.484481220587554,13.338394588912822,2.500590372295232,0.3273382278991311,0.5995585243498139,0.23768704156334275,0.730015509756875,0.6444662376520245,0.16925416297911156,0.6547053478880238,0.776390048498207,0.20134373507542924,11.634829173204299,11.968113274004132,0.3332841007998333,48.29905631549508,52.66990612568003,4.37084981018495,12.529385239680073,14.474502767474721,1.9451175277946486,2.2269654931949554,2.774215251395508,0.5472497582005524,0.29771020006988336,0.3552115264282235,0.057501326358340155,0.5684067304989135,0.6363333349344976,0.06792660443558407
16,35,243,0.0326392712086704,11.75951764263358,50.843430528231984,13.448656773467466,2.342988195255668,0.315802518768995,0.6196560224166635,0.31363349831392473,0.6701757363025316,0.6835056019451684,0.1923222941110245,0.517802609629534,0.6838463060905334,0.33124011747376597,11.53962963826712,11.979405647000041,0.43977600873292033,47.959712283525455,53.72714877293851,5.767436489413058,12.529385239680073,14.947777550779472,2.4183923110993994,1.9819338967398856,2.7040424937714507,0.722108597031565,0.27670765707560774,0.3548973804623823,0.07818972338677455,0.5711308170977502,0.6681812277355769,0.09705041063782671
17,63,755,0.0311932124170939,11.451426468416436,47.76261285505056,15.407554734026265,2.1350573909868444,0.2675433135560598,0.6637454729534189,0.2852651889560642,0.23073515359420582,0.3484355491475562,0.6021465254259114,0.3371813960942283,0.2966930408996094,0.6162039526539074,11.289658376889951,11.65142549100804,0.3617671141180878,45.139728391513856,50.38549731858727,5.245768927073414,14.044030193099111,16.77107927495342,2.7270490818543074,1.8066606373135106,2.4634541446601785,0.656793507346668,0.23198460197668458,0.30310202513543505,0.07111742315875047,0.6196093971233549,0.7078815487834829,0.08827215166012792
18,38,82,0.0329057000147894,11.647486139914022,48.84290610591309,13.777165828308004,2.566636124081043,0.3193670276176586,0.6093787626948366,0.3957403415675704,0.5103815164198365,0.46592835625341006,0.2610502082702686,0.7120766636887459,0.7124421197487361,0.26481499060509,11.37003314327176,11.924939136556285,0.5549059932845246,45.20425255238695,52.48155965943923,7.27730710705228,12.529385239680073,15.668744921911971,3.1393596822318983,2.1110605806929486,2.89809293203378,0.7870323513408315,0.2700374311196716,0.3552115264282235,0.08517409530855191,0.5684067304989135,0.6706074944176261,0.10220076391871258
19,37,242,0.0323960717213021,11.678767666710948,51.84793793816778,14.133893548170906,2.0108744800556124,0.2878449278173389,0.6560858225009196,0.3514811605490627,0.5549993877320434,0.7927559330545745,0.335681795277395,0.22930864413898105,0.4595601294730886,0.5666972488390376,11.4323447196054,11.925190613816497,0.49284589421109715,48.61622754755305,53.75345345283872,5.137225905285668,12.529385239680073,15.813920437662905,3.284535197982832,1.746894796449446,2.4154989367727113,0.6686041403232654,0.24403230118986372,0.3316575544448141,0.08762525325495038,0.6017048473402189,0.7104667976616204,0.10876195032140146
20,63,571,0.0316048780967829,11.592945666970897,49.496377883463154,14.17195922646223,2.298501778971456,0.299864469173884,0.6338989139161191,0.2762353809834121,0.43258864464343655,0.537000015219629,0.34364557780171345,0.4791590304670023,0.5559853536712795,0.42329635624126727,11.39927743004343,11.786613903898363,0.3873364738549334,46.95651842247535,52.03623734445096,5.079718921975612,12.851595804547278,15.492322648377181,2.6407268438299027,1.9805001234009239,2.6165034345419884,0.6360033111410646,0.2654313360027671,0.3342976023450009,0.0688662663422338,0.591159925094359,0.6766379027378792,0.08547797764352016
21,9,38,0.034416842400761,11.888431802569986,50.77716298410151,13.015498025742296,2.657073495301536,0.3403445877003519,0.595435455935384,0.30114602295707216,0.854050245871835,0.6762983369051581,0.10170044733900215,0.7906360084487926,0.880731896712917,0.1746950612139448,11.677298749605578,11.99075696982905,0.31345822022347214,48.008261430566264,53.54606453763675,5.537803107070488,12.529385239680073,14.454930555898727,1.9255453162186544,2.310394755134717,2.89809293203378,0.587698176899063,0.302806307573029,0.3552115264282235,0.0524052188551945,0.5684067304989135,0.642028605817414,0.07362187531850051
22,55,606,0.0318245975233008,11.642103679545578,50.18939048797274,14.05126782755624,2.189812832056205,0.2969365873425769,0.6365224612790901,0.26967469642131653,0.5027043360308692,0.6123721386671833,0.31839553375712426,0.38474526835638023,0.5324967983566574,0.4402531590416493,11.453035129333314,11.831172229757842,0.37813710042452797,47.70985355589587,52.668927420049606,4.959073864153737,12.762263487478213,15.340272167634266,2.578008680156053,1.8793638243217141,2.5002618397906957,0.6208980154689816,0.26332125283438323,0.33055192185077054,0.0672306690163873,0.5947985380262817,0.6782463845318984,0.08344784650561676
23,60,1000,0.0319055487270212,11.556041854906155,49.19038895542852,14.186118511283649,2.3448324863101675,0.3002841088306334,0.6317004794092801,0.31287654926210046,0.3799515227943744,0.5037206273595306,0.34660786482979905,0.5194046718614739,0.5593518588301872,0.4090871900839586,11.336684546454856,11.775399163357454,0.4387146169025975,46.313630515088526,52.06714739576851,5.753516880679982,12.690615836173915,15.681621186393382,2.991005350219467,1.9846495861315774,2.705015386488758,0.7203658003571805,0.2612836019132796,0.3392846157479872,0.07800101383470759,0.5832923888384826,0.6801085699800776,0.09681618114159507
24,69,597,0.0322934014958569,11.70193923413022,49.66272866741369,13.732612410933385,2.4317939872393595,0.3147258495108089,0.6175290126261501,0.20744514993172608,0.58804975704192,0.5550923439044585,0.2517291152906241,0.5949446664472463,0.6752088654820894,0.3174925914785144,11.556499731401047,11.847378736859394,0.290879005458347,47.7553642855796,51.570093049247774,3.814728763668171,12.74105590919778,14.72416891266899,1.9831130034712103,2.192983517401944,2.670604457076775,0.4776209396748312,0.28886751649107756,0.34058418253054024,0.05171666603946268,0.5854332111669128,0.6496248140853874,0.06419160291847459
